sp,dbh,rootbiomass
Castanopsis eyrei,1.08,0.16
Castanopsis eyrei,1.85,0.15
Castanopsis eyrei,2.46,0.46
Castanopsis eyrei,2.6,1.08
Castanopsis eyrei,4.46,1.34
Castanopsis eyrei,5.56,1.22
Castanopsis eyrei,5.68,1.31
Castanopsis eyrei,5.7,3.37
Castanopsis eyrei,8.8,5.48
Castanopsis eyrei,9.3,5.5
Castanopsis eyrei,9.48,10.62
Castanopsis eyrei,9.7,5.83
Castanopsis eyrei,10.28,6.4
Castanopsis eyrei,11.04,6.87
Castanopsis eyrei,15,26.15
Castanopsis eyrei,16.55,31.22
Castanopsis eyrei,18.1,39.29
Castanopsis eyrei,20.09,41.12
Castanopsis eyrei,22.57,86.48
Castanopsis eyrei,23.25,63.26
Castanopsis eyrei,23.94,63.47
Castanopsis eyrei,24.41,54.78
Castanopsis eyrei,25.1,62.66
Castanopsis eyrei,25.3,70.86
Castanopsis eyrei,25.8,81.94
Castanopsis eyrei,26.4,86.45
Castanopsis eyrei,26.55,69.86
Castanopsis eyrei,27.08,107.25
Castanopsis eyrei,27.35,89.81
Castanopsis eyrei,27.65,91.51
Castanopsis eyrei,28.3,90.45
Castanopsis eyrei,28.38,91.44
Castanopsis eyrei,28.5,80.89
Castanopsis eyrei,28.8,70.48
Castanopsis eyrei,30.72,103.65
Castanopsis eyrei,30.94,78.85
Castanopsis eyrei,30.95,100.15
Castanopsis eyrei,32.2,161.34
Castanopsis eyrei,37.94,169.18
Castanopsis eyrei,40.28,175.96
Castanopsis eyrei,47,149.85
Pinus massoniana,1.26,0.02
Pinus massoniana,1.81,0.04
Pinus massoniana,2.28,0.13
Pinus massoniana,2.9,0.1
Pinus massoniana,3.4,0.16
Pinus massoniana,3.75,0.32
Pinus massoniana,4.4,0.51
Pinus massoniana,5,0.62
Pinus massoniana,5.7,1.44
Pinus massoniana,5.7,0.91
Pinus massoniana,6.3,1.28
Pinus massoniana,6.56,0.87
Pinus massoniana,8.54,3.9
Pinus massoniana,8.8,3.43
Pinus massoniana,9.3,3.85
Pinus massoniana,9.9,4.22
Pinus massoniana,10.1,5.7
Pinus massoniana,10.95,5.34
Pinus massoniana,11.11,5.17
Pinus massoniana,11.3,6.77
Pinus massoniana,11.74,5.39
Pinus massoniana,11.83,5.75
Pinus massoniana,12.1,8.47
Pinus massoniana,12.58,12.11
Pinus massoniana,14,12
Pinus massoniana,14.1,13.74
Pinus massoniana,15.2,11.88
Pinus massoniana,17.4,17.52
Pinus massoniana,18.45,14.44
Pinus massoniana,18.6,17.33
Pinus massoniana,18.8,14.08
Pinus massoniana,21.65,23.52
Pinus massoniana,22.45,42.31
Pinus massoniana,22.45,34.4
Pinus massoniana,22.87,63.33
Pinus massoniana,23.2,26.38
Pinus massoniana,23.9,80.83
Pinus massoniana,24.06,60.13
Pinus massoniana,24.53,52.87
Pinus massoniana,24.9,105.81
Pinus massoniana,26.86,56.07
Pinus massoniana,28.5,114.87
Pinus massoniana,30.1,147.32
Pinus massoniana,31.7,84.48
Pinus massoniana,31.9,134.43
Pinus massoniana,32.15,126.1
Pinus massoniana,33,173.08
Pinus massoniana,34.24,158.52
Pinus massoniana,35.13,194.66
Pinus massoniana,35.66,219.79
Pinus massoniana,35.72,110.56
Pinus massoniana,37.2,179.92
Pinus massoniana,38.23,143.96
Pinus massoniana,38.4,140.8
Pinus massoniana,41.5,186.31
Pinus massoniana,49.25,174.83
Pinus massoniana,56.2,251.64
Pinus massoniana,56.5,295.5
Schima superba,1.2,0.07
Schima superba,1.31,0.37
Schima superba,2.09,0.21
Schima superba,2.32,0.5
Schima superba,2.4,0.26
Schima superba,2.7,0.52
Schima superba,4,2.29
Schima superba,4.19,1.17
Schima superba,4.7,1.37
Schima superba,4.86,1.85
Schima superba,5.4,2.36
Schima superba,5.8,2.39
Schima superba,6.04,1.97
Schima superba,6.88,4.11
Schima superba,6.9,3.89
Schima superba,7.45,4.17
Schima superba,7.5,3.18
Schima superba,8.48,5.57
Schima superba,9.2,10
Schima superba,9.4,18.95
Schima superba,9.46,9.81
Schima superba,9.9,7.21
Schima superba,10.1,6.86
Schima superba,10.6,8.56
Schima superba,13.5,14.78
Schima superba,13.8,5.07
Schima superba,14,36.18
Schima superba,16,34.85
Schima superba,17.3,31.29
Schima superba,17.9,30.22
Schima superba,19,48.57
Schima superba,19.02,45.14
Schima superba,19.6,37.45
Schima superba,19.8,49.72
Schima superba,20.5,65.24
Schima superba,21.05,74.16
Schima superba,21.18,76.1
Schima superba,21.4,50.72
Schima superba,21.45,82.23
Schima superba,22,170.57
Schima superba,23,148.7
Schima superba,23.1,74.11
Schima superba,23.19,106.96
Schima superba,23.38,124.77
Schima superba,24.62,78.52
Schima superba,25.54,97.96
Schima superba,25.76,117.95
Schima superba,26.39,105.15
Schima superba,26.4,92.85
Schima superba,26.5,113.5
Schima superba,27.86,83.59
Schima superba,29.35,130.03
Schima superba,30.62,97.85
Schima superba,32,265.5
Schima superba,32.12,173.2
Schima superba,32.92,253.57
Schima superba,34,122.55
Schima superba,37.2,136.3
Schima superba,38,181.13
Schima superba,38.32,273.6
